HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO
2024910189,059.9756A,49100,01,2024910189,0,,5
2024910189,059.9825B,48150,02,2024910189,0,,8
2024910189,084.9993A,59280,03,2024910189,0,,4
2024910189,084.9942B,58550,04,2024910189,0,,7
2024910188,084.7453A,54700,01,2024910188,0,,6
2024910188,084.8863B,54100,02,2024910188,0,,9
2024910188,084.9264C,55400,03,2024910188,0,,9
2024910188,117.9920 ,76300,04,2024910188,0,,6
2024910187,084.9873C,55430,01,2024910187,0,,1
2024910186,059.9861 ,23658,01,2024910186,0,,2
2024910185,067.9639 ,85200,01,2024910185,0,,3
2024910185,084.5396A,109500,02,2024910185,0,,1
2024910185,084.8949B,107500,03,2024910185,0,,1
2024910184,039.9400 ,23640,01,2024910184,0,,6
2024910184,084.9900 ,54810,02,2024910184,0,,2
2024910183,056.7107 ,50900,01,2024910183,0,,10
2024910183,071.0210 ,60850,02,2024910183,0,,2
2024910182,059.8790A,38900,01,2024910182,0,,11
2024910182,059.9892B,36800,02,2024910182,0,,4
2024910182,059.9738C,39300,03,2024910182,0,,3
2024910182,074.9976 ,48400,04,2024910182,0,,3
2024910182,084.9811A,54200,05,2024910182,0,,10
2024910182,084.9718B,54500,06,2024910182,0,,4
2024910181,060.4200A,58970,01,2024910181,0,,1
2024910181,078.4200 ,74650,02,2024910181,0,,22
2024910180,059.9900A,85180,01,2024910180,0,,14
2024910180,059.9900B,79270,02,2024910180,0,,1
2024910180,075.4900 ,101460,03,2024910180,0,,4
2024910180,084.9400A,110990,04,2024910180,0,,11
2024910180,084.9000B,108650,05,2024910180,0,,1
2024910180,084.8700F,117170,06,2024910180,0,,2
2024910179,068.9571A,42500,01,2024910179,0,,2
2024910179,068.9710B,42400,02,2024910179,0,,9
2024910179,084.9856A,48000,03,2024910179,0,,7
2024910179,084.9356B,48300,04,2024910179,0,,20
2024910179,101.9716 ,53200,05,2024910179,0,,4
2024910178,016.7900A,28400,01,2024910178,0,,4
2024910178,016.9500D,29000,02,2024910178,0,,5
2024910178,017.0400A,28700,03,2024910178,0,,7
2024910178,017.3600B,26300,04,2024910178,0,,11
2024910178,017.0400D,29000,05,2024910178,0,,10
2024910178,027.3700C,39700,06,2024910178,0,,2
2024910177,084.9644A,43084,01,2024910177,0,,1
2024910176,074.4400A,34200,01,2024910176,0,,1
2024910176,074.8600B,33000,02,2024910176,0,,7
2024910176,074.8800C,33000,03,2024910176,0,,3
2024910176,084.9600A,40200,04,2024910176,0,,8
2024910176,084.8600B,39000,05,2024910176,0,,7
2024910175,074.9935 ,52500,01,2024910175,0,,9
2024910175,084.9924A,56740,02,2024910175,0,,5
2024910175,084.9883B,56650,03,2024910175,0,,3
2024910174,084.9983B,54000,01,2024910174,0,,1
2024910174,084.9939C,54460,02,2024910174,0,,1
2024910173,084.9183A,33000,01,2024910173,0,,1
2024910172,099.9852B,57450,01,2024910172,0,,2
2024910172,136.9781P,127440,02,2024910172,0,,1
2024910171,032.7470B,34087,01,2024910171,0,,14
2024910171,059.3215A,65673,02,2024910171,0,,39
2024910171,059.4882B,66751,03,2024910171,0,,7
2024910171,059.0208C,59596,04,2024910171,0,,7
2024910170,044.0651C,75580,01,2024910170,0,,2
2024910170,044.2781G,77020,02,2024910170,0,,3
2024910170,046.6786A,82040,03,2024910170,0,,8
2024910170,046.6786B,72020,04,2024910170,0,,2
2024910170,049.8697I,78000,05,2024910170,0,,7
2024910170,049.8917K,87540,06,2024910170,0,,4
2024910169,060.9200A,35300,01,2024910169,0,,1
2024910169,084.7700B,50100,02,2024910169,0,,1
2024910168,059.9861 ,23658,01,2024910168,0,,1
2024910167,037.4200 ,56672,01,2024910167,0,,1
2024910167,037.4100A,65863,02,2024910167,0,,1
2024910167,054.6400 ,81056,03,2024910167,0,,2
2024910167,059.8600A,94251,04,2024910167,0,,5
2024910167,059.9700B,92279,05,2024910167,0,,3
2024910167,059.6500D,102723,06,2024910167,0,,1
2024910166,074.8978E,60543,01,2024910166,0,,1
2024910165,056.7107 ,50900,01,2024910165,0,,10
2024910165,071.0210 ,60850,02,2024910165,0,,2
2024910164,084.9559A,44400,01,2024910164,0,,2
2024910164,102.7097B,54200,02,2024910164,0,,1
2024910163,022.1000 ,24450,01,2024910163,0,,4
2024910163,033.1875 ,35100,02,2024910163,0,,1
2024910163,035.8001 ,41700,03,2024910163,0,,1
2024910163,048.5913 ,55000,04,2024910163,0,,2
2024910162,067.9639 ,85200,01,2024910162,0,,3
2024910162,084.5396A,109500,02,2024910162,0,,2
2024910160,059.9900A,35180,01,2024910160,0,,3
2024910160,059.9800C,34400,02,2024910160,0,,1
2024910159,059.9915A,21210,01,2024910159,0,,1
2024910159,059.9697D,20180,02,2024910159,0,,1
2024910159,073.9923 ,31250,03,2024910159,0,,4
2024910158,059.9900A,85180,01,2024910158,0,,21
2024910158,059.9900B,80930,02,2024910158,0,,2
2024910158,075.4900 ,102470,03,2024910158,0,,5
2024910158,084.9400A,110990,04,2024910158,0,,12
2024910158,084.9000B,108650,05,2024910158,0,,1
2024910158,084.8700F,122110,06,2024910158,0,,3
2024910157,059.8790A,38900,01,2024910157,0,,13
2024910157,059.9892B,36800,02,2024910157,0,,6
2024910157,059.9738C,39300,03,2024910157,0,,4
2024910157,074.9976 ,48400,04,2024910157,0,,4
2024910157,084.9811A,54200,05,2024910157,0,,8
2024910157,084.9718B,54500,06,2024910157,0,,4
2024910156,049.9644 ,37100,01,2024910156,0,,13
2024910156,059.9229A,42400,02,2024910156,0,,2
2024910155,084.7453A,55200,01,2024910155,0,,20
2024910155,084.8863B,53600,02,2024910155,0,,12
2024910155,084.9264C,54900,03,2024910155,0,,6
2024910155,117.9920 ,74900,04,2024910155,0,,6
2024910155,185.7222 ,147300,05,2024910155,0,,1
2024910154,084.9879A,54920,01,2024910154,0,,4
2024910154,084.9983B,54000,02,2024910154,0,,2
2024910154,084.9939C,54460,03,2024910154,0,,1
2024910153,030.1316A,69990,01,2024910153,0,,9
2024910153,033.2328C,71500,02,2024910153,0,,8
2024910153,033.2328E,82740,03,2024910153,0,,1
2024910153,038.1851B,69450,04,2024910153,0,,10
2024910153,038.1851H,83910,05,2024910153,0,,1
2024910153,043.3253D,88460,06,2024910153,0,,8
2024910153,055.4227F,125910,07,2024910153,0,,1
2024910152,074.9935 ,52500,01,2024910152,0,,9
2024910152,084.9924A,56740,02,2024910152,0,,8
2024910152,084.9883B,56650,03,2024910152,0,,3
2024910151,060.4200A,58970,01,2024910151,0,,1
2024910151,078.4200 ,74650,02,2024910151,0,,23
2024910150,068.9883 ,55900,01,2024910150,0,,1
2024910150,084.9970 ,68150,02,2024910150,0,,2
2024910149,099.9052A,37100,01,2024910149,0,,2
2024910148,059.9861 ,22894,01,2024910148,0,,1
2024910148,074.6957 ,32281,02,2024910148,0,,1
2024910147,072.4132A,34892,01,2024910147,0,,5
2024910147,072.4132B,33875,02,2024910147,0,,35
2024910147,072.4132C,33875,03,2024910147,0,,10
2024910146,056.7107 ,50900,01,2024910146,0,,11
2024910146,071.0210 ,62350,02,2024910146,0,,2
2024910145,084.9135A,43150,01,2024910145,0,,1
2024910145,084.8374B,41600,02,2024910145,0,,1
2024910145,111.5889 ,53150,03,2024910145,0,,3
2024910144,099.6552 ,55820,01,2024910144,0,,15
2024910141,084.6140B,98380,01,2024910141,0,,7
2024910141,084.8790C,97900,02,2024910141,0,,2
2024910140,084.9879A,55950,01,2024910140,0,,5
2024910140,084.9983B,55980,02,2024910140,0,,4
2024910140,084.9939C,56460,03,2024910140,0,,1
2024910139,059.9900A,85180,01,2024910139,0,,31
2024910139,059.9900B,83440,02,2024910139,0,,4
2024910139,075.4900 ,102470,03,2024910139,0,,6
2024910139,084.9400A,112100,04,2024910139,0,,21
2024910139,084.9000B,109730,05,2024910139,0,,3
2024910139,084.8700F,122110,06,2024910139,0,,3
2024910138,051.5400 ,40176,01,2024910138,0,,6
2024910138,059.5900A,46965,02,2024910138,0,,7
2024910138,059.9700C,46407,03,2024910138,0,,8
2024910138,060.3400 ,50034,04,2024910138,0,,2
2024910138,061.1500 ,50127,05,2024910138,0,,5
2024910137,044.2700A,88120,01,2024910137,0,,18
2024910137,044.8100B,87320,02,2024910137,0,,7
2024910136,059.9861 ,23658,01,2024910136,0,,2
2024910136,074.6957 ,32281,02,2024910136,0,,1
2024910135,049.9644 ,37600,01,2024910135,0,,15
2024910135,059.9229A,43300,02,2024910135,0,,6
2024910135,059.9989B,41600,03,2024910135,0,,3
2024910134,067.9639 ,86000,01,2024910134,0,,6
2024910134,084.5396A,109500,02,2024910134,0,,4
2024910134,084.8949B,107500,03,2024910134,0,,2
2024910133,058.8500A,80720,01,2024910133,0,,17
2024910133,058.1300B,79380,02,2024910133,0,,7
2024910133,058.0900C,79410,03,2024910133,0,,21
2024910133,059.8000 ,81180,04,2024910133,0,,11
2024910133,122.5100F,173596,05,2024910133,0,,2
2024910132,074.9935 ,53000,01,2024910132,0,,12
2024910132,084.9924A,56740,02,2024910132,0,,10
2024910132,084.9883B,57250,03,2024910132,0,,3
2024910131,022.1000 ,24450,01,2024910131,0,,4
2024910131,033.1875 ,35100,02,2024910131,0,,1
2024910131,035.8001 ,39700,03,2024910131,0,,1
2024910131,048.5913 ,55000,04,2024910131,0,,2
2024910130,059.8790A,38900,01,2024910130,0,,15
2024910130,059.9892B,36800,02,2024910130,0,,10
2024910130,059.9738C,39300,03,2024910130,0,,9
2024910130,074.9976 ,48400,04,2024910130,0,,8
2024910130,084.9811A,54200,05,2024910130,0,,2
2024910130,084.9718B,54500,06,2024910130,0,,5
2024910129,037.4200 ,58319,01,2024910129,0,,2
2024910129,054.6400 ,82290,02,2024910129,0,,2
2024910129,054.6400A,94500,03,2024910129,0,,1
2024910129,059.8600A,95687,04,2024910129,0,,6
2024910129,059.9700B,93590,05,2024910129,0,,4
2024910129,059.5700C,106800,06,2024910129,0,,1
2024910129,059.6500D,105900,07,2024910129,0,,1
2024910128,056.7107 ,50900,01,2024910128,0,,10
2024910128,071.0210 ,62350,02,2024910128,0,,3
2024910127,074.9423A,61441,01,2024910127,0,,1
2024910127,074.8978E,60543,02,2024910127,0,,1
2024910126,059.9900A,85180,01,2024910126,0,,39
2024910126,059.9900B,84270,02,2024910126,0,,5
2024910126,075.4900 ,102470,03,2024910126,0,,6
2024910126,084.9400A,112100,04,2024910126,0,,22
2024910126,084.9000B,109730,05,2024910126,0,,3
2024910126,084.8700F,122110,06,2024910126,0,,3
2024910125,060.4200A,58970,01,2024910125,0,,2
2024910125,078.4200 ,74650,02,2024910125,0,,25
2024910124,084.8442A,51230,01,2024910124,0,,21
2024910124,084.8795B,46610,02,2024910124,0,,1
2024910124,084.7544C,50590,03,2024910124,0,,7
2024910123,099.6552 ,55820,01,2024910123,0,,25
2024910121,084.9879A,56930,01,2024910121,0,,6
2024910121,084.9983B,56610,02,2024910121,0,,7
2024910121,084.9939C,56460,03,2024910121,0,,2
2024910120,084.9146A,50820,01,2024910120,0,,2
2024910118,033.6443 ,47900,01,2024910118,0,,2
2024910118,035.2843 ,51600,02,2024910118,0,,2
2024910118,037.3188 ,45000,03,2024910118,0,,1
2024910118,043.1460 ,55700,04,2024910118,0,,1
2024910117,112.9943 ,51330,01,2024910117,0,,10
2024910116,059.9861 ,24675,01,2024910116,0,,2
2024910116,074.6957 ,32281,02,2024910116,0,,1
2024910115,084.7002A,48200,01,2024910115,0,,1
2024910114,044.2700A,88120,01,2024910114,0,,10
2024910114,044.8100B,87320,02,2024910114,0,,6
2024910113,056.7107 ,51150,01,2024910113,0,,12
2024910113,071.0210 ,61150,02,2024910113,0,,2
2024910112,022.1000 ,24450,01,2024910112,0,,4
2024910112,033.1875 ,35100,02,2024910112,0,,2
2024910112,035.8001 ,41700,03,2024910112,0,,3
2024910112,048.5913 ,55000,04,2024910112,0,,4
2024910111,059.9900A,86030,01,2024910111,0,,49
2024910111,059.9900B,84270,02,2024910111,0,,7
2024910111,075.4900 ,102470,03,2024910111,0,,7
2024910111,084.9400A,112100,04,2024910111,0,,25
2024910111,084.9000B,109730,05,2024910111,0,,3
2024910111,084.8700F,122110,06,2024910111,0,,3
2024910110,055.7201A,38700,01,2024910110,0,,1
2024910110,069.5993B,42100,02,2024910110,0,,4
2024910109,084.9531B,43510,01,2024910109,0,,4
2024910108,037.4200 ,59182,01,2024910108,0,,3
2024910108,054.6400 ,82290,02,2024910108,0,,2
2024910108,054.6400A,94500,03,2024910108,0,,1
2024910108,059.8600A,95687,04,2024910108,0,,6
2024910108,059.9700B,93590,05,2024910108,0,,5
2024910108,059.5700C,106800,06,2024910108,0,,1
2024910108,059.6500D,105900,07,2024910108,0,,1
2024910106,049.9644 ,37600,01,2024910106,0,,17
2024910106,059.9229A,44200,02,2024910106,0,,11
2024910106,059.9989B,41600,03,2024910106,0,,2
2024910105,059.9455A,40390,01,2024910105,0,,1
2024910105,074.9935 ,53000,02,2024910105,0,,12
2024910105,084.9924A,57340,03,2024910105,0,,14
2024910105,084.9883B,57250,04,2024910105,0,,3
2024910104,049.9971A,22480,01,2024910104,0,,3
2024910104,049.7875C,22970,02,2024910104,0,,3
2024910104,049.6681D,22280,03,2024910104,0,,2
2024910103,084.9879A,57570,01,2024910103,0,,6
2024910103,084.9983B,57110,02,2024910103,0,,12
2024910103,084.9939C,56460,03,2024910103,0,,1
2024910102,084.9764 ,85600,01,2024910102,0,,1
2024910101,074.9227A,51740,01,2024910101,0,,6
2024910101,074.9774B,49200,02,2024910101,0,,5
2024910101,084.9646 ,55370,03,2024910101,0,,4
2024910100,084.8442A,52000,01,2024910100,0,,52
2024910100,084.8795B,51880,02,2024910100,0,,22
2024910100,084.7544C,51360,03,2024910100,0,,24
