BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
케이비부동산신탁주식회사,2022-08-16,2022-08-16,,,https://초읍월드메르디앙에듀포레.com,2022910244,초읍 월드메르디앙 에듀포레,04,무순위/잔여세대,부산광역시 부산진구 초읍동 529-14번지 일원,47113,0515542979,202404,2022910244,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910244&pblancNo=2022910244,2022-08-12,2022-08-04,,,2022-08-09,2022-08-09,4
시흥월동지구지역주택조합,2022-08-22,2022-08-22,,,http://sh-hessen.co.kr/,2022910242,시흥 센트럴 헤센,04,무순위/잔여세대,경기도 시흥시 월곶동 1064-1,15006,18772899,202209,2022910242,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910242&pblancNo=2022910242,2022-08-12,2022-08-04,,,2022-08-09,2022-08-09,69
한국투자부동산신탁 주식회사,2022-08-22,2022-08-22,,,http://www.대전스카이자이르네.com,2022910236,대전스카이자이르네,04,무순위/잔여세대,대전광역시 동구 인동 72-1 외 11필지,34631,16701512,202507,2022910236,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910236&pblancNo=2022910236,2022-08-12,2022-08-04,,,2022-08-09,2022-08-09,129
신영부동산신탁 주식회사,2022-08-19,2022-08-19,,,https://www.prugio.com/hc/2022/munsuro/,2022910238,문수로 푸르지오 어반피스,04,무순위/잔여세대,울산광역시 남구 신정동 1266-6번지 일원,44658,0522564000,202606,2022910238,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910238&pblancNo=2022910238,2022-08-11,2022-08-03,,,2022-08-08,2022-08-08,9
주식회사 하나자산신탁,2022-08-19,2022-08-19,,,http://www.dawartriche.com/,2022910235,창동 다우아트리체 주상복합 아파트,04,무순위/잔여세대,서울특별시 도봉구 창동 662-7번지 일원,01400,16684888,202502,2022910235,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910235&pblancNo=2022910235,2022-08-11,2022-08-01,,,2022-08-08,2022-08-08,60
대구도시공사,2022-08-30,2022-08-30,,,http://www.duco.or.kr,2022910233,수성알파시티청아람 공공분양주택,04,무순위/잔여세대,"대구광역시 수성구 알파시티2로 96(노변동, 수성알파시티청아람)",42251,0533500300,202208,2022910233,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910233&pblancNo=2022910233,2022-08-16,2022-08-01,,,2022-08-10,2022-08-10,2
금곡역지역주택조합,2022-08-19,2022-08-19,,,http://nyj-thehue.com/,2022910232,금곡역한신더휴,04,무순위/잔여세대,경기도 남양주시 금곡동 404-20번지 일원,12234,15668988,202502,2022910232,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910232&pblancNo=2022910232,2022-08-11,2022-08-01,,,2022-08-08,2022-08-08,1
과천주공6단지 주택재건축정비사업조합,2022-08-17,2022-08-17,2022-08-04,2022-08-04,https://xi.co.kr,2022930009,과천자이(취소후재공급),06,계약취소주택,"경기도 과천시 별양로 110(별양동, 과천자이)",13833,16004521,202210,2022930009,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022930009&pblancNo=2022930009,2022-08-09,2022-07-29,2022-08-03,2022-08-03,2022-08-03,2022-08-04,12
김남교,2022-08-16,2022-08-16,,,,2022910234,서광교 파크뷰,04,무순위/잔여세대,경기도 수원시 장안구 연무동 18-2 외 2필지,16214,0313563222,202208,2022910234,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910234&pblancNo=2022910234,2022-08-08,2022-07-29,,,2022-08-03,2022-08-03,19
(주)하나자산신탁,2022-08-16,2022-08-16,,,https://xi.co.kr,2022910224,위례포레자이（하남）,04,무순위/잔여세대,"경기도 하남시 위례대로6길 95(학암동, 위례포레자이)",13009,16004521,202210,2022910224,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910224&pblancNo=2022910224,2022-08-08,2022-07-29,,,2022-08-03,2022-08-03,1
