CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
209.5149,84.9638,5,-,2023850017,06,2023850017,0,0,0,30,75762,114.9452,5,84B
208.4470,84.9922,32,-,2023850017,07,2023850017,0,0,0,30,76902,113.8456,32,84C
209.0984,84.9754,1,-,2023850017,08,2023850017,0,0,0,30,66547,114.5158,1,84T
171.6834,75.4834,0,-,2023850016,01,2023850016,0,75,0,10,10800,119.3352,75,75A
171.1878,75.0604,0,-,2023850016,02,2023850016,0,0,25,10,10700,119.1330,25,75B
195.1204,84.9935,0,-,2023850016,03,2023850016,0,28,0,10,12000,136.1769,28,84A
195.1204,84.9935,44,-,2023850016,04,2023850016,0,0,0,10,15200,136.1769,44,84A-1
192.8573,84.8348,72,-,2023850016,05,2023850016,0,0,0,10,15200,134.0239,72,84B
192.1715,84.9894,72,-,2023850016,06,2023850016,0,0,0,10,15200,133.2308,72,84C
194.2932,84.9986,70,-,2023850016,07,2023850016,0,0,0,10,15300,135.3461,70,84D
148.3924,59.9860,0,-,2023850015,01,2023850015,1,5,2,30,46197,81.6244,8,59A-2
149.3581,59.9884,0,-,2023850015,02,2023850015,1,1,1,30,43350,82.5875,3,59B-2
187.3454,75.9614,2,-,2023850015,03,2023850015,0,0,0,30,61940,102.7959,2,75
209.5720,84.9832,8,-,2023850015,04,2023850015,0,0,0,30,73482,114.9806,8,84A
209.5149,84.9638,4,-,2023850015,05,2023850015,0,0,0,30,67355,114.9452,4,84B
208.4470,84.9922,28,-,2023850015,06,2023850015,0,0,0,30,75050,113.8456,28,84C
209.0984,84.9754,1,-,2023850015,07,2023850015,0,0,0,30,66547,114.5158,1,84T
121.9784,59.9536,0,-,2023850014,01,2023850014,12,48,15,10,17900,83.6704,75,59A
123.2580,59.9960,0,-,2023850014,02,2023850014,5,41,27,10,17800,84.9230,73,59B
121.7906,59.9449,0,-,2023850014,03,2023850014,5,27,28,10,17700,83.4882,60,59C
148.3305,75.2470,0,-,2023850014,04,2023850014,4,1,15,10,21000,100.2506,20,75
162.8704,84.7229,0,-,2023850014,05,2023850014,4,0,0,10,22900,108.7358,4,84
148.3924,59.9860,0,-,2023850013,01,2023850013,2,9,1,30,46410,81.6244,12,59A-2
149.3581,59.9884,0,-,2023850013,02,2023850013,2,1,0,30,43350,82.5875,3,59B-2
187.3454,75.9614,2,-,2023850013,03,2023850013,0,0,0,30,69730,102.7959,2,75
